Sample ID,Location Code,MONTH,YEAR,Collection Date,Collection Date/Time,AMMONIA_W,CONDUCTIVITY_W,DO_W,FCB_W,NITRATE_W,NITRITE_W,ORTHOPHOSPHATE_W,PH_W,PHOSPHOROUS_W,TEMPERATURE_W,TKN_W,TN_W,TSS_W,TURBIDITY_W
AA15339,CAPR2,1,2017,1/4/2017,1/4/2017 8:51,0.0803,170.9,,228,0.362,0.001,0.0759,7.93,0.085,8.7,,,13,13.5
AA15622,CAPR2,1,2017,1/23/2017,1/23/2017 8:34,0.0157,160.9,,170,0.781,0.001,0.036,8.01,0.0402,8.5,,,3,7.83
AA15676,CAPR2,1,2017,1/25/2017,1/25/2017 8:26,0.025,119.3,,420,1.84,0.001,Scratched,6.3,0.0473,5.9,,,5,12.8
AA14549,CAPR6,,,11/2/2016,11/2/2016 9:55,0.004,198.4,,11,0.022,0.001,0.0153,7.97,0.119,14.6,,,2,2.38
AA14550,CAPR7,,,11/2/2016,11/2/2016 10:45,0.004,218.6,,12,0.012,0.001,0.0094,7.77,0.0951,13.8,,,3,1.65
AA14551,CAPR8,,,11/2/2016,11/2/2016 11:11,0.0112,196.9,,46,0.0106,0.001,0.004,8.01,0.109,14.7,0.19,0.202,3,3.93
AA15743,CAPR2,1,2017,1/30/2017,1/30/2017 8:47,0.004,134.1,,17,1.41,0.001,0.0198,7.01,0.0605,3.4,,,0.59,3.42
AA15794,CAPR2,2,2017,2/1/2017,2/1/2017 8:32,0.004,138.8,,23,1.33,0.001,0.0305,7.36,0.0393,5.4,,,8,7.33
AA15849,CAPR2,2,2017,2/7/2017,2/7/2017 8:33,0.004,151,,44,1.05,0.001,0.0149,7.82,0.0668,6.3,,,0.59,2.03
AA16016,CAPR2,2,2017,2/21/2017,2/21/2017 8:53,0.004,139.5,,60,0.71,0.001,0.0108,6.86,0.0473,7.2,,,4,2.59
AA16052,CAPR2,2,2017,2/23/2017,2/23/2017 8:55,0.004,143.5,,17,0.59,0.001,0.0142,7.89,0.036,11.3,,,3,2.77
AA14590,CAPR6,,,11/9/2016,11/9/2016 10:10,0.004,198.9,,5,0.0248,0.001,0.0245,7.93,0.0644,13.3,,,3,1.75
AA14591,CAPR7,,,11/9/2016,11/9/2016 10:50,0.004,222,,32,0.0209,0.001,0.0108,8.1,0.0518,12.8,,,3,1.55
AA14592,CAPR8,,,11/9/2016,11/9/2016 11:17,0.004,202.8,,12,0.0078,0.001,0.0154,8.13,0.033,13.2,,,5,3.8
AA16100,CAPR2,2,2017,2/28/2017,2/28/2017 8:36,0.004,153.4,,13,0.66,0.001,0.006,6.84,0.0684,7.7,,,3,2.31
AA16118,CAPR2,3,2017,3/1/2017,3/1/2017 8:23,0.004,150.5,,15,0.546,0.001,0.0163,7.82,0.0649,10.3,,,4,3.28
AA16169,CAPR2,3,2017,3/6/2017,3/6/2017 9:04,0.004,151.4,,46,0.486,0.001,0.0127,7.94,0.0474,5.6,,,5,4.14
AA16345,CAPR2,3,2017,3/20/2017,3/20/2017 8:57,0.004,97.3,,12,1.1,0.001,0.0297,7.74,0.0705,5.8,,,7,9.51
AA16478,CAPR2,3,2017,3/28/2017,3/28/2017 8:45,0.004,123.8,,13,0.605,0.001,0.0247,7.72,0.0914,12.6,,,2,3.32
AA14644,CAPR6,,,11/14/2016,11/14/2016 9:48,0.004,202.6,,13,0.0174,0.001,0.0209,8.02,0.029,7.8,,,0.59,1.93
AA14645,CAPR7,,,11/14/2016,11/14/2016 10:24,0.004,212.4,,23,0.0184,0.001,0.0101,8.01,0.0828,9.1,,,0.59,1.43
AA14646,CAPR8,,,11/14/2016,11/14/2016 10:50,0.004,205.1,,40,0.002,0.001,0.005,7.63,0.005,7.4,,,2,2.81
AA16552,CAPR2,4,2017,4/3/2017,4/3/2017 8:57,0.0236,101.1,,21,1.04,0.001,0.0212,7.64,0.111,10.4,,,3,6.59
AA16720,CAPR2,4,2017,4/11/2017,4/11/2017 8:45,0.004,115.4,,12,0.548,0.001,0.0194,7.66,0.0748,13.7,,,4,4.08
AA16805,CAPR2,4,2017,4/17/2017,4/17/2017 8:28,0.004,130,,13,0.287,0.001,0.0293,7.69,0.107,15.9,,,6,3.35
AA16860,CAPR2,4,2017,4/19/2017,4/19/2017 8:28,0.004,134.4,,40,0.261,0.001,0.0435,7.62,0.0855,14.7,,,2,3.99
AA16986,CAPR2,4,2017,4/26/2017,4/26/2017 8:36,0.0384,99.4,,19,0.427,0.001,0.0551,7.73,0.066,13.6,,,17,17.4
AA14757,CAPR6,,,11/22/2016,11/22/2016 9:42,0.004,205.1,,7,0.014,0.001,0.023,8.17,0.0235,3.9,,,2,2.62
AA14758,CAPR7,,,11/22/2016,11/22/2016 10:17,0.0199,223,,0,0.0209,0.001,0.0083,8.32,0.0681,4.1,,,0.59,1.79
AA14759,CAPR8,,,11/22/2016,11/22/2016 10:36,0.0172,205.6,,4,0.002,0.001,0.008,8.45,0.012,5.4,,,3,2.84
AA17124,CAPR2,5,2017,5/3/2017,5/3/2017 9:24,0.0458,103.6,9.16,12,0.374,0.001,0.0292,7.94,0.0549,15.6,,,4,5.02
AA17172,CAPR2,5,2017,5/8/2017,5/8/2017 8:25,0.0383,80.5,11,28,0.813,0.001,0.0435,6.89,0.0672,11.3,,,8,10.8
AA17285,CAPR2,5,2017,5/15/2017,5/15/2017 8:55,0.116,81.5,,165,0.722,0.001,0.0269,7.53,0.0672,14.2,,,15,12.3
AA17326,CAPR2,5,2017,5/22/2017,5/22/2017 8:36,0.004,118.5,,23,0.413,0.001,0.0118,7.98,0.0852,17.4,,,3,4.39
AA17443,CAPR2,5,2017,5/30/2017,5/30/2017 8:55,0.0682,123,,110,0.543,0.001,0.0271,6.79,0.0349,16.7,,,9,7.49
AA14837,CAPR6,,,11/30/2016,11/30/2016 9:18,0.004,204.6,,4,0.0263,0.001,0.0192,7.84,0.03,9.2,,,0.59,2.43
AA14838,CAPR7,,,11/30/2016,11/30/2016 9:53,0.004,221,,13,0.0495,0.001,0.0117,8.04,0.02,8.2,,,3,1.34
AA14839,CAPR8,,,11/30/2016,11/30/2016 10:13,0.004,209.1,,8,0.0191,0.001,0.0116,8.03,0.026,7.7,,,3,3.28
AA17565,CAPR2,6,2017,6/6/2017,6/6/2017 8:51,0.0806,156.5,8.69,64,0.506,0.001,0.023,7.72,0.0587,18.3,,,7,5.55
AA17695,CAPR2,6,2017,6/15/2017,6/15/2017 8:33,0.1,147.3,,13,0.562,0.001,0.016,6.69,0.138,19.9,,,11,11.5
AA17746,CAPR2,6,2017,6/21/2017,6/21/2017 8:40,0.0476,167.7,,180,0.546,0.001,0.004,7.93,0.0567,21.3,,,4,4.65
AA17840,CAPR2,6,2017,6/26/2017,6/26/2017 8:43,0.0548,172.7,,84,0.488,0.001,0.004,7.98,0.0553,20.7,,,4,5.35
AA17902,CAPR2,6,2017,6/28/2017,6/28/2017 8:45,0.0568,174.4,,89,0.382,0.001,0.004,7.65,0.0491,18.3,,,8,7.3
AA14988,CAPR6,,,12/7/2016,12/7/2016 9:11,0.0505,198.4,,23,0.0795,0.001,0.0357,7.97,0.211,6.2,,,6,7.67
AA14989,CAPR7,,,12/7/2016,12/7/2016 9:43,0.004,190,,37,0.187,0.001,0.0225,8.08,0.25,7.6,,,5,4.06
AA14990,CAPR8,,,12/7/2016,12/7/2016 10:00,0.004,186,,24,0.0562,0.001,0.0165,8.1,0.227,5.8,0.066,0.123,4,4.48
AA17947,CAPR2,7,2017,7/6/2017,7/6/2017 9:20,0.0714,177.3,7.73,42,0.219,0.001,0.0393,7.85,0.0484,22.3,,,,3.65
AA18285,CAPR2,7,2017,7/31/2017,7/31/2017 9:09,0.0623,154.6,,36,2.08,0.001,0.087,8.05,0.107,19.3,,,,7.72
AA18356,CAPR2,8,2017,8/7/2017,8/7/2017 8:38,0.025,195.5,8.5,19,0.254,0.001,0.031,8.03,0.114,20,,,,3.32
AA18564,CAPR2,8,2017,8/22/2017,8/22/2017 8:51,0.0622,167.5,,50,0.438,0.001,0.0506,8.14,0.0555,22.4,,,,5.4
AA18647,CAPR2,8,2017,8/28/2017,8/28/2017 9:35,0.0528,189.4,,24,0.16,0.001,0.0284,8.1,0.0507,19.3,,,,5.13
AA15066,CAPR6,,,12/12/2016,12/12/2016 9:28,0.004,186.8,,23,0.24,0.001,0.005,8.14,0.00915,3,,,3,2.62
AA15067,CAPR7,,,12/12/2016,12/12/2016 10:10,0.004,191.9,,66,0.17,0.001,0.005,8.18,0.0125,3.8,,,3,1.66
AA15068,CAPR8,,,12/12/2016,12/12/2016 10:28,0.004,165.8,,35,0.134,0.001,0.005,8.17,0.005,3.5,,,3,3.21
AA18765,CAPR2,9,2017,9/6/2017,9/6/2017 8:57,0.0284,198.3,8.18,46,0.117,0.001,0.0382,7.66,0.044,19,,,,4.36
AA19034,CAPR2,9,2017,9/25/2017,9/25/2017 8:47,0.004,204.9,,32,0.0155,0.001,0.038,8.02,0.103,19.7,,,,2.54
AA19099,CAPR2,9,2017,9/28/2017,9/28/2017 9:02,0.004,205.9,,29,0.002,0.001,0.0274,8.09,0.098,20.6,,,,2.31
AA19135,CAPR2,10,2017,10/3/2017,10/3/2017 9:55,0.004,201.1,,20,0.002,0.001,0.0544,7.91,0.0755,14.6,,,,1.88
AA19336,CAPR2,10,2017,10/18/2017,10/18/2017 8:15,0.0184,215.2,,44,0.002,0.001,0.0245,6.2,0.0937,11.9,,,,2.11
AA15174,CAPR6,,,12/19/2016,12/19/2016,0.0229,181.2,,19,0.246,0.001,0.0147,7.68,0.0221,1.1,,,0.59,2.92
AA15175,CAPR7,,,12/19/2016,12/19/2016,0.0136,194.3,,12,0.242,0.001,0.0085,8.07,0.02,2.1,,,0.59,2.59
AA15176,CAPR8,,,12/19/2016,12/19/2016,0.0226,176.8,,107,0.273,0.001,0.0108,8.06,0.0448,1.3,,,2,3.02
AA19501,CAPR2,10,2017,10/26/2017,10/26/2017 8:53,0.0448,208.2,,13,0.0942,0.001,0.0228,6.58,0.085,12,,,,2.33
AA19565,CAPR2,11,2017,11/1/2017,11/1/2017 9:51,0.0293,152.7,,15,1.89,0.001,0.0541,7.14,0.123,10.1,,,,6.73
AA19859,CAPR2,11,2017,11/28/2017,11/28/2017 9:06,0.0163,179.7,,,0.275,0.001,0.0203,7.28,0.028,5.8,,,,1.15
AA19923,CAPR2,12,2017,12/5/2017,12/5/2017 8:46,0.024,185.4,,19,0.169,0.001,0.004,8.49,0.005,7.1,,,,1.18
AA20139,CAPR2,12,2017,12/20/2017,12/20/2017 8:43,0.004,189.9,,27,0.216,0.001,0.004,7.84,0.0361,6.4,,,,1.53
AA15278,CAPR6,,,12/28/2016,12/28/2016 9:45,0.004,181.5,,4,0.0581,0.001,0.014,8.1,0.0285,5.6,,,0.59,2.43
AA15279,CAPR7,,,12/28/2016,12/28/2016 10:22,0.004,197.9,,19,0.0399,0.001,0.0084,8.17,0.0406,5.6,,,3,1.72
AA15280,CAPR8,,,12/28/2016,12/28/2016 10:40,0.004,171.5,,5,0.12,0.001,0.0158,8.24,0.0235,5.9,,,2,2.03
AA12390,CAPR3,7,2016,7/6/2016,7/6/2016 9:57,0.0525,172.2,8.73,25,0.445,0.001,0.0606,7.9,0.848,24.3,,,7,7.59
AA12493,CAPR3,7,2016,7/11/2016,7/11/2016 10:34,0.0381,192.8,,48,0.209,0.001,0.0524,8.01,0.185,22.9,,,3,4.84
AA12634,CAPR3,7,2016,7/14/2016,7/14/2016 8:40,0.0335,186.8,,165,0.188,0.001,0.0543,7.72,0.187,25,,,6,5.77
AA12659,CAPR3,7,2016,7/18/2016,7/18/2016 9:00,0.004,189.2,,19,0.222,0.001,0.004,8.12,0.00781,25,,,6,4.82
AA12834,CAPR3,7,2016,7/25/2016,7/25/2016 8:38,0.004,176.9,,37,0.0969,0.001,0.0239,7.89,0.319,25.5,,,2,3.6
AA15343,CAPR6,,,1/4/2017,1/4/2017 9:46,0.161,130.7,,210,0.373,0.001,0.038,7.93,0.0569,7,,,17,24.4
AA15344,CAPR7,,,1/4/2017,1/4/2017 10:28,0.162,145.3,,220,0.654,0.001,0.039,8.08,0.0446,8.4,,,18,23.2
AA15345,CAPR8,,,1/4/2017,1/4/2017 10:50,0.0458,155.5,,89,0.165,0.001,0.0358,8.34,0.0765,7.9,0.241,0.407,19,22.2
AA12955,CAPR3,8,2016,8/1/2016,8/1/2016 9:08,0.0497,139.9,8.39,37,0.356,0.001,0.0775,7.74,0.159,24.1,,,10,14
AA13025,CAPR3,8,2016,8/8/2016,8/8/2016 9:27,0.004,198,,42,0.2,0.001,0.052,8.11,0.195,23.7,,,3,4.02
AA13179,CAPR3,8,2016,8/15/2016,8/15/2016 8:49,0.0681,195.6,,27,0.169,0.001,0.0579,7.85,0.067,26.2,,,0.59,3.8
AA13267,CAPR3,8,2016,8/17/2016,8/17/2016 8:30,0.0406,188.8,,25,0.175,0.001,0.0612,8.11,0.515,25.7,,,4,5.07
AA15399,CAPR6,,,1/9/2017,1/9/2017 9:48,0.004,146.7,,9,0.971,0.001,0.0233,7.82,0.0348,0.1,,,0.59,6.43
AA15400,CAPR8,,,1/9/2017,1/9/2017 10:45,0.004,133,,5,1.05,0.001,0.0214,7.99,0.0267,0.9,,,0.59,6.58
AA13369,CAPR3,8,2016,8/24/2016,8/24/2016 8:39,0.004,183.2,,37,0.157,0.001,0.0606,7.96,0.141,20.7,,,6,5.07
AA13546,CAPR3,9,2016,9/7/2016,9/7/2016 9:02,0.004,183.8,7.59,33,0.0268,0.001,0.0399,7.84,0.189,23,,,3,2.91
AA13585,CAPR3,9,2016,9/12/2016,9/12/2016 9:39,0.004,186.3,,25,0.0334,0.001,0.0483,8.04,0.061,20.7,,,4,3.17
AA13723,CAPR3,9,2016,9/19/2016,9/19/2016 9:08,0.0104,183.8,,24,0.0488,0.001,0.005,7.79,0.01,21.5,,,4,3.6
AA13769,CAPR3,9,2016,9/22/2016,9/22/2016 8:38,0.004,243,,70,0.0401,0.001,0.0292,7.91,0.169,20.5,,,2,3.53
AA15626,CAPR6,,,1/23/2017,1/23/2017 9:35,0.159,139.7,,100,0.461,0.001,0.038,7.89,0.0422,8.2,,,13,26.5
AA15627,CAPR7,,,1/23/2017,1/23/2017 10:14,0.0345,169.9,,150,0.484,0.001,0.0381,7.88,0.0406,8.8,,,10,12.9
AA15628,CAPR8,,,1/23/2017,1/23/2017 10:45,0.004,134.7,,93,0.517,0.001,0.0188,8.06,0.0269,9.5,,,5,4.66
AA13858,CAPR3,9,2016,9/28/2016,9/28/2016 8:33,0.004,205.8,,42,0.002,0.001,0.0663,7.46,0.126,18.3,,,3,2.52
AA13916,CAPR3,10,2016,10/3/2016,10/3/2016 9:18,0.0507,176.1,,25,0.61,0.001,0.041,6.84,0.049,17.5,,,7,7.11
AA13979,CAPR3,10,2016,10/5/2016,10/5/2016 9:07,0.0181,181.5,,24,0.626,0.001,0.036,7.01,0.093,17,,,7,5.19
AA14103,CAPR3,10,2016,10/12/2016,10/12/2016 8:34,0.0195,161.9,,36,0.764,0.001,0.023,6.82,0.03,12.4,,,3,4.89
AA14248,CAPR3,10,2016,10/18/2016,10/18/2016 8:46,0.0223,179.5,,17,0.143,0.001,0.0413,7.11,0.104,15,,,3,3.06
AA15680,CAPR6,,,1/25/2017,1/25/2017 9:31,0.105,98.2,,129,1.22,0.001,Scratched,7.2,0.0686,7.6,,,23,29.1
AA15681,CAPR7,,,1/25/2017,1/25/2017 10:31,0.102,97,,160,1.06,0.001,Scratched,7.7,0.0932,8.1,,,37,29.3
AA15682,CAPR8,,,1/25/2017,1/25/2017 10:50,0.259,96.6,,91,1.13,0.001,Scratched,7.46,0.109,7.3,,,48,53.2
AA14400,CAPR3,10,2016,10/26/2016,10/26/2016 8:55,0.004,191,,20,0.002,0.001,0.0402,8.05,0.124,10,,,2,2.66
AA14546,CAPR3,11,2016,11/2/2016,11/2/2016 8:58,0.004,197.7,,23,0.012,0.001,0.0135,7.98,0.0827,12.4,,,3,3.19
AA14587,CAPR3,11,2016,11/9/2016,11/9/2016 9:04,0.004,194.6,,28,0.0187,0.001,0.0174,8.04,0.0705,12,,,2,2.63
AA14641,CAPR3,11,2016,11/14/2016,11/14/2016 8:47,0.004,199.8,,28,0.002,0.001,0.0107,7.34,0.014,5.5,,,2,2.3
AA14754,CAPR3,11,2016,11/22/2016,11/22/2016 9:02,0.019,200.8,,25,0.0068,0.001,0.0116,8.24,0.0767,3.5,,,2,3.22
AA15747,CAPR6,,,1/30/2017,1/30/2017 9:55,0.004,116.7,,40,1,0.001,0.0212,8.29,0.051,4.4,,,2,4.7
AA15748,CAPR7,,,1/30/2017,1/30/2017 10:40,0.004,114.3,,46,0.808,0.001,0.0216,8.21,0.0402,4.6,,,2,4.34
AA15749,CAPR8,,,1/30/2017,1/30/2017 11:03,0.004,108.3,,12,0.966,0.001,0.024,8.09,0.0415,4.5,,,5,6.79
AA14834,CAPR3,11,2016,11/30/2016,11/30/2016 8:35,0.004,193.7,,25,0.0115,0.001,0.0141,7.64,0.123,7.4,,,3,3.21
AA14985,CAPR3,12,2016,12/7/2016,12/7/2016 8:32,0.004,184.5,,7,0.094,0.001,0.0218,7.85,0.143,5.9,,,6,5.61
AA15063,CAPR3,12,2016,12/12/2016,12/12/2016 8:44,0.004,170.7,,8,0.437,0.001,0.005,8.21,0.0108,3.2,,,3,2.71
AA15171,CAPR3,12,2016,12/19/2016,12/19/2016,0.0234,156.3,,4,0.275,0.001,0.0121,6.91,0.0171,0.6,,,2,2.35
AA15275,CAPR3,12,2016,12/28/2016,12/28/2016 9:06,0.004,178.8,,3,0.0693,0.001,0.0127,7.91,0.0163,5.3,,,2,2.37
AA15798,CAPR6,,,2/1/2017,2/1/2017 9:23,0.004,120.5,,31,0.924,0.001,0.0304,7.77,0.0451,5,0.341,1.27,4,4.36
AA15799,CAPR7,,,2/1/2017,2/1/2017 10:05,0.004,125.1,,28,0.774,0.001,0.0276,7.73,0.0303,4.8,,,0.59,3.8
AA15800,CAPR8,,,2/1/2017,2/1/2017 10:25,0.004,112.7,,4,0.906,0.001,0.0306,7.78,0.0494,4.2,,,4,3.74
AA15340,CAPR3,1,2017,1/4/2017,1/4/2017 9:04,0.109,137,,145,0.425,0.001,0.038,7.97,0.0453,7.8,,,15,21.4
AA15396,CAPR3,1,2017,1/9/2017,1/9/2017 8:43,0.004,94.6,,9,1.05,0.001,0.0146,7.94,0.0402,0.1,,,0.59,3.41
AA15623,CAPR3,1,2017,1/23/2017,1/23/2017 8:50,0.004,141,,105,0.575,0.001,0.0248,7.83,0.0465,8.2,,,6,6.46
AA15677,CAPR3,1,2017,1/25/2017,1/25/2017 8:42,0.0471,105.5,,125,1.46,0.001,Scratched,6.15,0.0544,5.8,,,11,17.8
AA15744,CAPR3,1,2017,1/30/2017,1/30/2017 9:04,0.004,116.1,,20,1.1,0.001,0.0204,7.27,0.0677,3.4,,,4,4.02
AA15853,CAPR6,,,2/7/2017,2/7/2017 9:39,0.004,134.3,,46,0.7,0.001,0.021,7.62,0.0594,6.4,,,2,2.86
AA15854,CAPR7,,,2/7/2017,2/7/2017 10:38,0.004,144.6,,44,0.6,0.001,0.0138,8.04,0.0839,6.7,,,3,2.38
AA15855,CAPR8,,,2/7/2017,2/7/2017 11:04,0.004,129.1,,27,0.718,0.001,0.0139,8.12,0.108,5.2,,,3,2.81
AA15795,CAPR3,2,2017,2/1/2017,2/1/2017 8:45,0.004,125.5,,11,0.998,0.001,0.0303,7.59,0.0485,4.1,,,2,3.34
AA15850,CAPR3,2,2017,2/7/2017,2/7/2017 8:52,0.004,133.6,,42,0.783,0.001,0.0171,7.93,0.0659,6.4,,,0.59,2.7
AA16017,CAPR3,2,2017,2/21/2017,2/21/2017 9:11,0.004,127.3,,24,0.529,0.001,0.0126,7.01,0.031,7.9,,,0.59,3.34
AA16053,CAPR3,2,2017,2/23/2017,2/23/2017 9:07,0.004,123.6,,21,0.441,0.001,0.0132,8.06,0.027,11.9,,,4,3.16
AA16101,CAPR3,2,2017,2/28/2017,2/28/2017 8:56,0.004,138.1,,25,0.431,0.001,0.0052,7.36,0.0576,7.1,,,2,3.04
AA16020,CAPR6,,,2/21/2017,2/21/2017 9:57,0.004,130.9,,11,0.472,0.001,0.0131,7.1,0.0245,9.1,,,5,3.33
AA16021,CAPR7,,,2/21/2017,2/21/2017 10:33,0.004,139.9,,27,0.389,0.001,0.0059,7.97,0.0286,9.5,,,0.59,3.03
